# Annual Net Primary Productivity on the Marginal Land Experiment
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/588
# The newest version of the data https://data.sustainability.glbrc.org/datatables/588.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/178.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year of sampling date
# site		site of marginal land experiment
# sample_date		
# campaign		experimental campaign
# treatment		treatment in MLE site
# replicate		nested replicates of treatment
# field_section		field section within replicate
# station		
# nitrogen		nitrogen adding or control
# area_sampled	squareMeter	sampling area
# wet_weight	kilogram	wet weight of plant sample
# dry_weight	kilogram	dry weight of plant sample
# biomass	gramsPerSquareMeter	crop biomass
# moisture	gramsPerHectogram	percent moisture
# comment		
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,site,sample_date,campaign,treatment,replicate,field_section,station,nitrogen,area_sampled,wet_weight,dry_weight,biomass,moisture,comment
#,,,,,,,,,squareMeter,kilogram,kilogram,gramsPerSquareMeter,gramsPerHectogram,
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R1,south,east,control,1,1.795,0.885795,885.795,49.3479,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,north,west,control,1,1.27,0.566703,566.703,44.6223,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,north,east,control,1,1.72,0.767503,767.504,44.6223,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,south,west,plus_n,1,1.435,0.776756,776.756,54.1294,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,south,east,plus_n,1,1.06,0.573771,573.771,54.1294,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,north,east,control,1,1.017,0.519558,519.558,51.0873,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,north,west,control,1,0.687,0.35097,350.97,51.0873,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,south,west,plus_n,1,1.355,0.732959,732.959,54.0929,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,south,east,plus_n,1,0.48,0.259646,259.646,54.0929,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R4,north,west,plus_n,1,0.45,0.249483,249.483,55.4406,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R4,north,east,plus_n,1,0.365,0.202358,202.358,55.4406,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R4,south,west,control,1,0.975,0.527216,527.216,54.0735,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R4,south,east,control,1,0.49,0.26496,264.96,54.0735,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R1,north,west,control,1,0.157,0.10952,109.52,69.7581,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R1,north,east,control,1,0.047,0.0327863,32.7863,69.7581,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R1,south,east,plus_n,1,0.197,0.108656,108.656,55.1553,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R1,south,west,plus_n,1,0.082,0.0452273,45.2273,55.1553,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R2,north,west,plus_n,1,,0.0071,739.583,73.9583,all plant materials were available in small bag
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R2,north,east,plus_n,1,0.052,0.0433931,43.3931,83.4483,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R2,south,west,control,1,0.047,0.0293965,29.3965,62.5458,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R2,south,east,control,1,0.132,0.0825604,82.5604,62.5458,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R3,north,east,plus_n,1,0.072,0.0402492,40.2492,55.9016,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R3,north,west,plus_n,1,0.082,0.0458393,45.8393,55.9016,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R3,south,west,control,1,0.027,0.0216433,21.6433,80.1603,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R3,south,east,control,1,0.022,0.0176353,17.6353,80.1603,""
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R4,north,east,plus_n,1,,0.0539,509.934,50.9934,all plant materials were available in small bag
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R4,north,west,plus_n,1,,0.0194,205.508,20.5508,all plant materials were available in small bag
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R4,south,east,control,1,,0.0511,545.94,54.594,all plant materials were available in small bag
2018,Michigan Central - Lake City Exp. Station,2019-01-04,peak biomass,G8,R4,south,west,control,1,,0.0038,690.909,69.0909,all plant materials were available in small bag
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R1,north,west,plus_n,1,0.367,0.172532,172.532,47.0115,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R1,north,east,plus_n,1,0.462,0.217193,217.193,47.0115,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R1,south,west,control,1,0.352,0.208298,208.298,59.1756,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R1,south,east,control,1,0.417,0.246762,246.762,59.1756,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R2,north,east,control,1,0.632,0.362135,362.135,57.2998,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R2,north,west,control,1,0.777,0.445219,445.219,57.2998,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R2,south,west,plus_n,1,0.912,0.450247,450.247,49.3692,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R2,south,east,plus_n,1,1.002,0.494679,494.679,49.3692,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R3,north,west,control,1,0.332,0.159035,159.035,47.9021,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R3,north,east,control,1,0.497,0.238073,238.073,47.9021,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R3,south,east,plus_n,1,0.932,0.419975,419.975,45.0617,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R3,south,west,plus_n,1,0.857,0.386179,386.179,45.0617,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R4,north,west,plus_n,1,0.797,0.395903,395.903,49.6742,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R4,north,east,plus_n,1,0.637,0.316425,316.425,49.6742,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R4,south,east,control,1,0.457,0.249447,249.447,54.5837,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G9,R4,south,west,control,1,0.567,0.309489,309.49,54.5837,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R1,east,south,control,1,2.01,0.708617,708.617,35.2546,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R1,east,north,control,1,0.72,0.253833,253.833,35.2546,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R1,west,north,plus_n,1,1.075,0.507207,507.207,47.182,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R1,west,south,plus_n,1,0.835,0.39397,393.97,47.182,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R2,east,south,plus_n,1,0.725,0.332366,332.366,45.8436,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R2,east,north,plus_n,1,1.17,0.53637,536.37,45.8436,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R2,west,north,control,1,0.975,0.434157,434.157,44.5289,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R2,west,south,control,1,1.23,0.547706,547.706,44.5289,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R3,east,south,control,1,0.6,0.263984,263.984,43.9974,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R3,east,north,control,1,1.135,0.49937,499.37,43.9974,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R3,west,south,plus_n,1,0.57,0.277816,277.816,48.7397,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R3,west,north,plus_n,1,0.855,0.416725,416.725,48.7397,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R4,east,north,plus_n,1,0.555,0.227623,227.623,41.0132,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R4,east,south,plus_n,1,0.865,0.354764,354.764,41.0132,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R4,west,south,control,1,0.63,0.335919,335.919,53.3204,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G10,R4,west,north,control,1,0.53,0.282598,282.598,53.3204,""
2018,Michigan North - Escanaba,,peak biomass,G11,R1,east,north,control,1,0.485,0.368796,368.796,76.0405,""
2018,Michigan North - Escanaba,,peak biomass,G11,R1,east,south,control,1,0.55,0.418223,418.223,76.0405,""
2018,Michigan North - Escanaba,,peak biomass,G11,R1,west,south,plus_n,1,0.49,0.274339,274.339,55.9876,""
2018,Michigan North - Escanaba,,peak biomass,G11,R1,west,north,plus_n,1,0.49,0.274339,274.339,55.9876,""
2018,Michigan North - Escanaba,,peak biomass,G11,R2,east,north,control,1,0.655,0.322744,322.744,49.2739,""
2018,Michigan North - Escanaba,,peak biomass,G11,R2,east,south,control,1,0.64,0.315353,315.353,49.2739,""
2018,Michigan North - Escanaba,,peak biomass,G11,R2,west,south,plus_n,1,0.58,0.278265,278.265,47.9767,""
2018,Michigan North - Escanaba,,peak biomass,G11,R2,west,north,plus_n,1,0.49,0.235086,235.086,47.9767,""
2018,Michigan North - Escanaba,,peak biomass,G11,R3,east,south,control,1,0.76,0.436894,436.894,57.4861,""
2018,Michigan North - Escanaba,,peak biomass,G11,R3,east,north,control,1,0.49,0.281682,281.682,57.4861,""
2018,Michigan North - Escanaba,,peak biomass,G11,R3,west,north,plus_n,1,0.55,0.265936,265.936,48.3519,""
2018,Michigan North - Escanaba,,peak biomass,G11,R3,west,south,plus_n,1,0.75,0.36264,362.64,48.3519,""
2018,Michigan North - Escanaba,,peak biomass,G11,R4,east,south,control,1,0.78,0.374125,374.125,47.9648,""
2018,Michigan North - Escanaba,,peak biomass,G11,R4,east,north,control,1,0.67,0.321364,321.364,47.9648,""
2018,Michigan North - Escanaba,,peak biomass,G11,R4,west,south,plus_n,1,0.595,0.296442,296.442,49.8222,""
2018,Michigan North - Escanaba,,peak biomass,G11,R4,west,north,plus_n,1,0.565,0.281496,281.496,49.8222,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R1,east,south,plus_n,1,2.02,0.983201,983.201,48.6733,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R1,east,north,plus_n,1,2.405,1.17059,1170.59,48.6733,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R1,west,north,control,1,3.935,2.48002,2480.02,63.0247,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R1,west,south,control,1,2.645,1.667,1667,63.0247,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R2,east,north,plus_n,1,2.62,1.11225,1112.25,42.4521,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R2,east,south,plus_n,1,2.805,1.19078,1190.78,42.4521,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R2,west,north,control,1,2.28,0.993651,993.651,43.5812,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R2,west,south,control,1,2.375,1.03505,1035.05,43.5812,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R3,east,north,control,1,2.14,0.924145,924.145,43.1844,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R3,east,south,control,1,1.225,0.529009,529.008,43.1844,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R3,west,south,plus_n,1,3.98,1.75877,1758.77,44.1902,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R3,west,north,plus_n,1,3.055,1.35001,1350.01,44.1902,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R4,east,north,plus_n,1,2.55,1.07353,1073.53,42.0991,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R4,east,south,plus_n,1,2.66,1.11984,1119.84,42.0991,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R4,west,south,control,1,2.475,1.10416,1104.16,44.6124,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G5,R4,west,north,control,1,2.235,0.997086,997.086,44.6124,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R1,east,north,plus_n,1,4.815,2.40667,2406.67,49.9827,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R1,east,south,plus_n,1,2.46,1.22958,1229.58,49.9827,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R1,west,south,control,1,4.125,1.77816,1778.16,43.107,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R1,west,north,control,1,3.745,1.61436,1614.36,43.107,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R2,east,south,control,1,4.62,1.97841,1978.41,42.8228,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R2,east,north,control,1,3.335,1.42814,1428.14,42.8228,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R2,west,south,plus_n,1,1.946,0.92423,924.23,47.4938,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R2,west,north,plus_n,1,4.755,2.25833,2258.33,47.4938,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R3,east,south,plus_n,1,5.145,2.37879,2378.79,46.2351,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R3,east,north,plus_n,1,6.606,3.05429,3054.29,46.2351,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R3,west,north,control,1,3.135,1.35137,1351.37,43.106,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R3,west,south,control,1,3.53,1.52164,1521.64,43.106,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R4,east,south,plus_n,1,4.62,2.16209,2162.09,46.7985,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R4,east,north,plus_n,1,3.38,1.58179,1581.79,46.7985,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R4,west,south,control,1,1.81,0.791638,791.638,43.7369,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G6,R4,west,north,control,1,5.8,2.53674,2536.74,43.7369,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R1,east,north,control,1,1.495,0.683016,683.016,45.6867,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R1,east,south,control,1,1.895,0.865763,865.763,45.6867,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R1,west,south,plus_n,1,3.615,1.65265,1652.65,45.7165,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R1,west,north,plus_n,1,1.025,0.468594,468.594,45.7165,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R2,east,south,plus_n,1,0.9,0.422964,422.964,46.996,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R2,east,north,plus_n,1,41,19.2684,19268.4,46.996,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R2,west,north,control,1,0.8,0.352172,352.172,44.0214,""
2018,Michigan North - Escanaba,2018-10-16,peak biomass,G7,R2,west,south,control,1,1.39,0.611898,611.898,44.0214,""
