# Species transect plant heights
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/592
# The newest version of the data https://data.sustainability.glbrc.org/datatables/592.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/178.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		sample date
# site		experimental site
# plot		Plot sampled
# subplot		N+ or N- subplot
# line		transect line sampled
# species		species measured
# height	centimeter	height to the top of the plant canopy
# has_lodged		had the plant that was measured lodged?
# comments		comments about the observation
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,site,plot,subplot,line,species,height,has_lodged,comments
#,,,,,,centimeter,,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,182,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,170,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,190,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,189,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,180,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,185,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,174,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,163,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,154,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,181,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,193,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,151,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,167,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,185,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,179,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,170,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,172,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,181,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,213,f,
2018-09-05,Hancock,G11-R4,N-,3,Bromus inermis Leyss.,20,f,
2018-09-05,Hancock,G11-R4,N-,3,Bromus inermis Leyss.,33,f,
2018-09-05,Hancock,G11-R4,N-,3,Berteroa incana (L.) DC.,34,f,
2018-09-05,Hancock,G11-R4,N-,4,Bromus inermis Leyss.,39,f,
2018-09-05,Hancock,G11-R4,N-,4,Bromus inermis Leyss.,24,f,
2018-09-05,Hancock,G11-R4,N-,3,Bromus inermis Leyss.,35,f,
2018-09-05,Hancock,G11-R4,N-,3,Bromus inermis Leyss.,70,f,
2018-09-05,Hancock,G11-R4,N-,4,Bromus inermis Leyss.,22,f,
2018-09-05,Hancock,G11-R4,N-,4,Bromus inermis Leyss.,12,f,
2018-09-07,Escanaba,G8-R3,N-,3,Elymus repens (L.) Gould,28,f,Row 2-3 -- 
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,197,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,201,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,204,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,207,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,170,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,177,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Andropogon gerardii,203,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,166,f,
2018-08-27,Lux Arbor,G5-R4,N-,3,Panicum virgatum L.,177,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,190,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,143,f,
2018-08-27,Lux Arbor,G5-R4,N-,4,Panicum virgatum L.,202,f,
2018-08-27,Lux Arbor,G6-R1,N-,4,Miscanthus x giganteus,271,f,
2018-08-27,Lux Arbor,G6-R1,N-,3,Miscanthus x giganteus,296,f,
2018-08-27,Lux Arbor,G6-R1,N-,3,Miscanthus x giganteus,249,f,
2018-08-27,Lux Arbor,G6-R2,N-,4,Miscanthus x giganteus,230,f,
2018-08-27,Lux Arbor,G6-R2,N-,4,Miscanthus x giganteus,247,f,
2018-08-27,Lux Arbor,G6-R2,N-,4,Miscanthus x giganteus,233,f,
2018-08-27,Lux Arbor,G6-R3,N-,4,Miscanthus x giganteus,251,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Medicago sativa L.,63,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Solidago rigida L.,92,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,58,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Plantago lanceolata L.,41,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,108,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Andropogon gerardii,235,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Achillea millefolium L.,79,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Euthamia graminifolia (L.) Nutt.,86,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Achillea millefolium L.,70,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Solidago canadensis L.,93,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,78,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Aster pilosus Willd.,68,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Daucus carota L.,123,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,76,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,46,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,72,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,94,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Asclepias syriaca L.,110,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Daucus carota L.,97,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,95,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Woody,84,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Solidago canadensis L.,69,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Solidago canadensis L.,83,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Solidago canadensis L.,85,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Asclepias syriaca L.,88,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Daucus carota L.,103,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Solidago rigida L.,115,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Euthamia graminifolia (L.) Nutt.,52,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Solidago canadensis L.,94,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Aster pilosus Willd.,90,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Solidago rigida L.,118,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Plantago lanceolata L.,87,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Daucus carota L.,89,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Aster pilosus Willd.,114,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Solidago canadensis L.,55,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Aster pilosus Willd.,81,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Plantago lanceolata L.,56,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Solidago rigida L.,115,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Achillea millefolium L.,83,f,
2018-08-27,Lux Arbor,G11-R1,N-,3,Achillea millefolium L.,88,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Solidago canadensis L.,57,f,
2018-08-27,Lux Arbor,G11-R1,N-,4,Solidago canadensis L.,94,f,
2018-08-27,Lux Arbor,G11-R2,N-,4,Daucus carota L.,72,f,
2018-08-27,Lux Arbor,G11-R2,N-,4,Daucus carota L.,52,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,201,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,205,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,197,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,176,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,179,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Andropogon gerardii,208,f,
2018-08-27,Lux Arbor,G10-R1,N-,4,Daucus carota L.,85,f,
